bushtel_id,community,community_type,latitude,longitude,sa2_code,community_sa2_name,join_status,bushtel_profile_url,aliases,sa2_name,mobile_premises_pct,mobile_area_pct,nbn_fixed_premises_pct,nbn_satellite_premises_pct,abs_sa2_name,population_2025,area_km2,population_density_2025,historical_site_name,macro_cell_2022,small_cell_2022,near_cell_2022,provider_2022,historical_match,historical_listed_2022
582,Binjari,Minor,-14.5502,132.1815,702051067,Katherine,matched,https://bushtel.nt.gov.au/profile/582,"WYLUNBA, BINJARRI",Katherine,99,41,82,18,Katherine,11269,7416.9,1.5,BINJARI,,,YES,OPTUS/TELSTRA,both,True
464,Birany Birany,Minor,-12.81703,136.47669,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/464,BIRANYBIRANY,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,,,,,,left_only,False
586,Bulla,Minor,-15.764915,130.039364,702051068,Victoria River,matched,https://bushtel.nt.gov.au/profile/586,"GURRBIJIM, GUDABIJIN",Victoria River,57,8,0,100,Victoria River,3147,133608.8,0.0,BULLA,YES,,,TELSTRA,both,True
587,Bulman,Major,-13.6652916667,134.3333472222,702051065,Elsey,matched,https://bushtel.nt.gov.au/profile/587,"YULNGU, GULIN GULIN",Elsey,74,12,0,100,Elsey,2695,92949.7,0.0,BULMAN,YES,,,TELSTRA,both,True
219,Canteen Creek,Major,-20.645082,135.58678,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/219,"ORWAITILLYA, ORWAITILLA, OWAIRTILLA",Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,,,,,,left_only,False
591,Daguragu,Major,-17.40059,130.80491,702051068,Victoria River,matched,https://bushtel.nt.gov.au/profile/591,"WATTIE CREEK, DAGARAGU",Victoria River,57,8,0,100,Victoria River,3147,133608.8,0.0,DAGURAGU,,,YES,TELSTRA,both,True
473,Dhalinybuy,Minor,-12.4125,136.3878,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/473,DHALINGBOY,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,,,,,,left_only,False
33,Engawala,Minor,-22.80257,134.45547,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/33,ALCOOTA,Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,ENGAWALA,,YES,,TELSTRA,both,True
36,Finke,Major,-25.581439,134.578418,702011050,Petermann - Simpson,matched,https://bushtel.nt.gov.au/profile/36,"APUTULA, APATULA",Petermann - Simpson,92,6,0,100,Petermann - Simpson,2337,175248.1,0.0,,,,,,left_only,False
492,Galiwinku,Major,-12.0235,135.5664,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/492,"ELCHO ISLAND, GALIWIN'KU",East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,GALIWINKU,YES,,,TELSTRA,both,True
498,Gan Gan,Minor,-13.04605,135.94354,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/498,GANGAN,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,,,,,,left_only,False
500,Gapuwiyak,Major,-12.50322,135.80587,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/500,LAKE EVELLA,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,GAPUWIYAK,YES,,,TELSTRA,both,True
